9,,,8H15-11H,2,3
18,,,8H15-10H30,1,1
1,,,9H30-10H30,3,1
2,,,10H30-11H30,4,1
3,,,11H30-12H30,5,1
4,,,12H30-13H30,6,2
5,,,13H30-14H30,7,2
6,,,14h30-15H30,11,2
7,,,15H30-16H30,14,3
10,,,16H30-18H00,16,4
12,,,13H30-14H15,8,1
13,,,14H15-15H00,10,1
14,,,15H00-15H45,13,1
15,,,15H45-16H30,15,1
16,,,13H30-15H00,9,1
17,,,15H00-16H30,12,1
8,,,16H30-17H30,17,3
19,,,Vendredi 28 à partir de 18h,0,1
